9.8188 	EXP 	Created Begin = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Begin', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.0472 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1.0, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
20.8152 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1.0, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
23.3949 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='+', units='height', win=Window(...), wrapWidth=1)
23.3951 	EXP 	window1: mouseVisible = False
23.4783 	EXP 	movie: autoLog = True
23.4783 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\N-of-Few\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4'
23.4783 	EXP 	movie: size = array([1920., 1080.])
23.4783 	EXP 	movie: ori = 0
23.4783 	EXP 	movie: autoLog = True
23.4783 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\N-of-Few\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv'
23.4783 	EXP 	movie: size = array([1024.,  800.])
23.4783 	EXP 	movie: ori = 0
23.4783 	EXP 	Begin: autoDraw = True
23.9478 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
23.9483 	EXP 	New trial (rep=0, index=0): OrderedDict([('runSeq', [OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\N-of-Few\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')]), OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\N-of-Few\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv')])])])
23.9486 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
23.9489 	EXP 	New trial (rep=0, index=0): OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\N-of-Few\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')])
24.2097 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([-0.5, -0.5, -0.5]), text=str(...), units='height', win=Window(...), wrapWidth=1)
24.2122 	DATA 	Keypress: space
24.2259 	EXP 	Begin: autoDraw = False
25.0656 	DATA 	Keypress: s
26.1216 	DATA 	Keypress: 5
28.6832 	DATA 	Keypress: 5
28.6835 	DATA 	Keypress: 5
28.6837 	DATA 	Keypress: 5
28.6840 	DATA 	Keypress: 5
28.6842 	DATA 	Keypress: 5
28.6844 	DATA 	Keypress: 5
28.6847 	DATA 	Keypress: 5
28.6850 	DATA 	Keypress: 5
28.6852 	DATA 	Keypress: 5
28.6854 	DATA 	Keypress: 5
28.6857 	DATA 	Keypress: 5
28.6859 	DATA 	Keypress: 5
28.6862 	DATA 	Keypress: 5
28.6864 	DATA 	Keypress: 5
28.6867 	DATA 	Keypress: 5
28.6869 	DATA 	Keypress: 5
28.6871 	DATA 	Keypress: 5
28.7296 	DATA 	Keypress: 5
28.8830 	EXP 	Sound  started
28.9093 	EXP 	movie: autoDraw = True
28.9166 	DATA 	Keypress: 5
29.0703 	DATA 	Keypress: 5
30.7047 	DATA 	Keypress: escape
31.5209 	EXP 	window1: mouseVisible = True
