runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
,,,,,,,,,,145.54631569981575,None,space,2.4666260997764766,145.54631569981575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,6,0,0,0,0,0,1,1,1,,,,,,,148.15213449997827,148.15213449997827,None,space,442.1314279004,148.15213449997827,None,590.3052905998193,space,79.94833369972184,590.3052905998193,None,698.2561220997013,None,715.9061235999689,None,715.9061235999689,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,5,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,731.9063428998925,None,744.9732087999582,None,744.9732087999582,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,5,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,794.6568049998023,None,810.6569562000223,None,810.6569562000223,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,6,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,828.1237891996279,828.1237891996279,828.1237891996279,828.1237891996279,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,6,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,844.1238213996403,None,861.774041599594,None,861.774041599594,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,6,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,877.7740730997175,None,895.2409589998424,None,895.2409589998424,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,5,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,911.2409846996889,None,929.3411996997893,None,929.3411996997893,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,5,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,1013.508404399734,1013.508404399734,1031.4419146999717,None,1031.4419146999717,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
stimuli/orders/stimOrder1.xlsx,6,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,1047.4419801998883,None,1064.892145099584,None,1064.892145099584,None,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_13_1218,bodysite,2020.2.5,60.0127707589688,"['Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Left Leg', 'Left Arm', 'Left Face', 'Chest']",
