runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg1.started,BodySiteImg1.stopped,BodySiteImg2.started,BodySiteImg2.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
,,,,,,,,,,97.37211310000566,None,space,3.840525899999193,97.37211310000566,None,,,,,,,,,,,,,,,,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,6,0,0,0,3,0,1,1,1,,,,,,,101.45987760000571,101.32058382000541,None,101.45987760000571,None,space,2.0011880000092788,101.45987760000571,None,108.18237019999651,None,121.66969039999822,None,121.66969039999822,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,5,0,0,0,3,0,3,3,3,,,,,,,,,,,,,,,,134.19461990000855,None,147.9111072000087,None,147.9111072000087,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,6,0,0,0,3,0,5,5,5,,,,,,,,,,,,,,,,160.2096315999952,None,173.84106609999435,None,173.84106609999435,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,5,0,0,0,3,0,11,11,11,,,,,,,,,,,,,,,,238.25038860000495,None,251.29237480000302,None,251.29237480000302,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,6,0,0,0,3,0,13,13,13,,,,,,,,,,,,,,,,264.2526144000003,None,277.71332700000494,None,277.71332700000494,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,6,0,0,0,3,0,15,15,15,,,,,,,,,,,,,,,,290.26652780000586,None,303.2853679999971,None,303.2853679999971,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,5,0,0,0,3,0,20,20,20,,,,,,,,,,,,,,,,355.2943374000024,None,368.7398996999982,None,368.7398996999982,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,6,0,0,0,3,0,24,24,24,,,,,,,,,,,,,,,,407.31841720000375,None,421.2432775000052,None,421.2432775000052,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
stimuli/orders/stimOrder7.xlsx,5,0,0,0,3,0,26,26,26,,,,,,,,,,,,,,,,433.3331926999963,None,446.4766171000083,None,446.4766171000083,None,1,M,1,r,MS,2021_Mar_27_1553,bodysite,2020.2.5,60.061755497019554,"[['Right Face', 'Right Leg'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face'], ['Left Leg', 'Abdomen'], ['Right Leg', 'Left Leg'], ['Left Arm', 'Chest'], ['Left Face', 'Right Face'], ['Right Arm', 'Abdomen']]",
