runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg1.started,BodySiteImg1.stopped,BodySiteImg2.started,BodySiteImg2.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
,,,,,,,,,,4.499985100002959,None,space,0.2489795918367347,4.499985100002959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,1,1,1,,,,,,,4.8794841999188066,4.76342033999972,None,4.8794841999188066,None,space,0.2489795918367347,4.8794841999188066,None,5.047262900043279,space,0.2489795918367347,5.047262900043279,None,5.379969600122422,None,17.414518099976704,None,17.414518099976704,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,5,0,0,0,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,29.41519939992577,None,35.447992800036445,None,35.447992800036445,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,5,0,0,0,4,0,7,7,7,,,,,,,,,,,,,,,,,,,,,59.44863609992899,59.44863609992899,65.44901480013505,None,65.44901480013505,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,77.46486259996891,None,77.46486259996891,77.46486259996891,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,10,10,10,,,,,,,,,,,,,,,,,,,,,89.46547110006213,None,95.46544159995392,None,95.46544159995392,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,12,12,12,,,,,,,,,,,,,,,,,,,,,107.46577490004711,None,113.46547880000435,None,113.46547880000435,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,5,0,0,0,4,0,14,14,14,,,,,,,,,,,,,,,,,,,,,125.46544810011983,None,131.48172989999875,None,131.48172989999875,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,5,0,0,0,4,0,20,20,20,,,,,,,,,,,,,,,,,,,,,167.4995387000963,167.4995387000963,173.49965219991282,None,173.49965219991282,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
stimuli/orders/stimOrder9.xlsx,6,0,0,0,4,0,22,22,22,,,,,,,,,,,,,,,,,,,,,185.49961440009065,None,191.5155045001302,None,191.5155045001302,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_06_1118,bodysite,2020.2.5,59.94671931306271,"[['Right Arm', 'Right Leg'], ['Abdomen', 'Left Face'], ['Chest', 'Left Arm'], ['Right Face', 'Left Leg'], ['Right Arm', 'Left Face'], ['Right Leg', 'Right Face'], ['Left Arm', 'Abdomen'], ['Left Leg', 'Chest']]",
