runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,44.39000160014257,None,space,346.7611583999824,44.39000160014257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,4,4,4,,,,,,,391.3056470002048,391.3056470002048,None,space,2003.632578900084,391.3056470002048,None,2394.972708800109,space,80.48547589988448,2394.972708800109,None,2556.007381600095,2554.0243191001937,2554.0243191001937,2556.0241869001184,2554.0243191001937,2556.0241869001184,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,6,6,6,,,,,,,,,,,,,,,,,,,2581.9909403000493,2580.0081554001663,2580.0081554001663,2582.0078792001586,2580.0081554001663,2582.0078792001586,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,8,8,8,,,,,,,,,,,,,,,,,,,2607.9744951000903,2605.991588300094,2605.991588300094,2607.9911929999944,2605.991588300094,2607.9911929999944,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,9,9,9,,,,,,,,,,,,,,,,,,,2620.9579435000196,2618.9746002000757,2618.9746002000757,2620.974913700018,2618.9746002000757,2620.974913700018,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,11,11,11,,,,,,,,,,,,,,,,,,,2646.9414815001655,2644.9577320001554,2644.9577320001554,2646.958206200041,2644.9577320001554,2646.958206200041,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,14,14,14,,,,,,,,,,,,,,,,,,,2685.9251633000094,2683.9421505001374,2683.9421505001374,2685.9421497001313,2683.9421505001374,2685.9421497001313,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,18,18,18,,,,,,,,,,,,,,,,,,,2737.9089606001507,2735.9251283002086,2735.9251283002086,2737.9256474000867,2735.9251283002086,2737.9256474000867,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,21,21,21,,,,,,,,,,,,,,,,,,,2776.8926195001695,2774.9096239001956,2774.9096239001956,2776.9093280001543,2774.9096239001956,2776.9093280001543,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,24,24,24,,,,,,,,,,,,,,,,,,,2815.8762880000286,2813.8931210001465,2813.8931210001465,2815.8932629001793,2813.8931210001465,2815.8932629001793,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,28,28,28,,,,,,,,,,,,,,,,,,,2867.860090200091,2865.876878899988,2865.876878899988,2867.877014600206,2865.876878899988,2867.877014600206,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,31,31,31,,,,,,,,,,,,,,,,,,,2906.843731400091,2904.8601405001245,2904.8601405001245,2906.8604449999984,2904.8601405001245,2906.8604449999984,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,3,0,0,0,1,0,32,32,32,,,,,,,,,,,,,,,,,,,2919.827183900168,2917.8433532000054,2917.8433532000054,2919.844177100109,2917.8433532000054,2919.844177100109,,,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,3008.8279512000736,3008.8279512000736,,,,,-9.135802469135797,3024.011230650358,,,,,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014183549676090479,None,23.39506172839506,3027.4452295498922,,,,,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
stimuli/orders/stimOrder12.xlsx,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013521050103008747,None,46.23456790123457,3032.26171564986,,,2,M,2,6,r,CIB,2021_Jun_01_1105,2020.2.5,bodymapST2,60.002940152484655,"['Right Arm', 'Abdomen', 'Left Arm', 'Right Face']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013751249993219972,None,,,,,,,,,,,,
