runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,29.0747599999886,None,space,1.3320209000376053,29.0747599999886,None,,,,,,,,,,,,,,,,,,,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,0,0,0,,,,,,,30.547691499989014,30.547691499989014,None,space,363.1791778000188,30.547691499989014,None,393.7503044999903,space,30.632570699963253,393.7503044999903,None,446.08419800002594,448.0844892000314,446.08419800002594,448.0844892000314,448.0675332000246,None,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,5,5,5,,,,,,,,,,,,,,,,,,,511.06825650000246,513.0683370000334,511.06825650000246,513.0683370000334,513.0513715000125,511.06825650000246,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,10,10,10,,,,,,,,,,,,,,,,,,,576.0520774000324,578.0518681000103,576.0520774000324,578.0518681000103,578.0352134000277,576.0520774000324,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,14,14,14,,,,,,,,,,,,,,,,,,,628.0358222000068,630.0359381000162,628.0358222000068,630.0359381000162,630.0189460000256,628.0358222000068,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,16,16,16,,,,,,,,,,,,,,,,,,,654.0193294000346,656.0194177000085,654.0193294000346,656.0194177000085,656.0023739000317,654.0193294000346,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,18,18,18,,,,,,,,,,,,,,,,,,,680.0029275999987,682.0029676000122,680.0029275999987,682.0029676000122,681.9860197000089,680.0029275999987,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,19,19,19,,,,,,,,,,,,,,,,,,,692.9863046000246,694.9861174999969,692.9863046000246,694.9861174999969,694.9694557000184,692.9863046000246,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,21,21,21,,,,,,,,,,,,,,,,,,,718.9698544000275,720.9699327999842,718.9698544000275,720.9699327999842,720.9529742000159,718.9698544000275,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,22,22,22,,,,,,,,,,,,,,,,,,,731.9532658000244,733.953362100001,731.9532658000244,733.953362100001,733.9364225000027,731.9532658000244,7,f,2,10,r,mck,2022_Feb_23_1328,2020.2.5,bodymapST2,59.970122894643794,"['Chest', 'Right Leg', 'Left Leg', 'Left Arm']",
