sub,ses,run-1,run-2,run-3,run-4,run-5,run-6,run-7,run-8,run-9,run-10,run-11,run-12
sub-00001,ses-01,bodymapST_acq-rightarm,bodymapST_acq-rightface,bodymapST_acq-abdomen,bodymapST_acq-rightleg,bodymapST_acq-leftleg,,,,,,,
sub-00001,ses-02,bodymapST_acq-leftleg,bodymapST_acq-rightarm,bodymapST_acq-rightface,bodymapST_acq-abdomen,bodymapST_acq-rightleg,bodymapST_acq-chest,bodymapST_acq-leftarm,bodymapST_acq-leftface,,,,
sub-00001,ses-03,bodymapST_acq-leftarm,bodymapST_acq-rightarm,bodymapST_acq-rightface,bodymapST_acq-chest,bodymapST_acq-leftleg,bodymapST_acq-rightleg,bodymapST_acq-abdomen,bodymapST_acq-leftface,pinellocalizer,,,
sub-00001,ses-04,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,bodymapST1_acq-chest,pinellocalizer,,,,,,,
sub-00001,ses-05,bodymapST2_acq-leftleg,bodymapST2_acq-leftface,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,,,,,,,,
sub-00001,ses-06,bodymapST1_acq-rightface,bodymapST1_acq-chest,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,pinellocalizer,,,,,,,
sub-00001,ses-07,bodymapST2_acq-leftleg,bodymapST2_acq-leftface,bodymapST2_acq-rightarm,bodymapST2_acq-abdomen,,,,,,,,
sub-00001,ses-08,movemap,movemap,movemap,pinellocalizer,,,,,,,,
sub-00001,ses-09,bodymapST1_acq-rightleg,bodymapST1_acq-chest,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,pinellocalizer,,,,,,,
sub-00001,ses-10,bodymapST2_acq-abdomen,bodymapST2_acq-leftface,bodymapST2_acq-leftleg,bodymapST2_acq-rightarm,pinellocalizer,,,,,,,
sub-00001,ses-11,bodymapST1_acq-chest,bodymapST1_acq-rightface,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,pinellocalizer,,,,,,,
sub-00001,ses-12,bodymapST2_acq-leftface,bodymapST2_acq-leftleg,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,,,,,,,,
sub-00001,ses-13,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-00001,ses-14,bodymapST1_acq-rightface,bodymapST1_acq-chest,bodymapST1_acq-leftarm,bodymapST1_acq-rightleg,pinellocalizer,,,,,,,
sub-00001,ses-15,bodymapST2_acq-leftleg,bodymapST2_acq-rightarm,bodymapST2_acq-abdomen,bodymapST2_acq-leftface,pinellocalizer,,,,,,,
sub-00001,ses-16,bodymapST1_acq-chest,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,,,,,,,,
sub-00001,ses-17,bodymapST2_acq-rightarm,bodymapST2_acq-leftface,bodymapST2_acq-leftleg,,,,,,,,,
sub-00001,ses-18,bodymapST2_acq-leftface,bodymapST2_acq-leftleg,bodymapST2_acq-rightarm,bodymapST2_acq-abdomen,pinellocalizer,,,,,,,
sub-00001,ses-19,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,bodymapST1_acq-chest,bodymapST1_acq-rightleg,,,,,,,,
sub-00001,ses-20,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,bodymapST1_acq-chest,bodymapST1_acq-rightleg,bodymapST2_acq-leftface,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,bodymapST2_acq-leftleg,pinellocalizer,,,
sub-00001,ses-21,distractmap_acq-abdomen,distractmap_acq-leftarm,distractmap_acq-chest,distractmap_acq-rightarm,distractmap_acq-rightface,distractmap_acq-rightarm,distractmap_acq-leftleg,distractmap_acq-rightleg,distractmap_acq-leftface,,,
sub-00001,ses-22,distractmap_acq-abdomen,distractmap_acq-rightleg,distractmap_acq-rightarm,distractmap_acq-chest,,,,,,,,
sub-00001,ses-23,distractmap1_acq-leftarm,distractmap1_acq-chest,distractmap1_acq-rightface,distractmap1_acq-rightleg,,,,,,,,
sub-00001,ses-24,distractmap2_acq-leftface,distractmap2_acq-rightarm,,,,,,,,,,
sub-00001,ses-25,distractmap2_acq-leftleg,distractmap2_acq-leftface,distractmap2_acq-rightarm,distractmap2_acq-abdomen,,,,,,,,
sub-00001,ses-26,bodymapST1_acq-rightface,bodymapST1_acq-chest,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,pinellocalizer,,,,,,,
sub-00001,ses-27,,bodymapST2_acq-rightarm,bodymapST2_acq-abdomen,bodymapST2_acq-leftface,bodymapST2_acq-leftleg,,,,,,,
sub-00001,ses-28,bodymapST1_acq-leftarm,bodymapST1_acq-chest,bodymapST1_acq-rightleg,bodymapST1_acq-rightface,pinellocalizer,,,,,,,
sub-00001,ses-29,bodymapST2_acq-abdomen,bodymapST2_acq-leftleg,bodymapST2_acq-leftface,bodymapST2_acq-rightarm,,,,,,,,
sub-00001,ses-30,bodymapST1_acq-leftarm,bodymapST1_acq-chest,bodymapST1_acq-rightface,bodymapST1_acq-rightleg,pinellocalizer,,,,,,,
sub-00001,ses-31,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,bodymapST2_acq-leftface,bodymapST2_acq-leftleg,,,,,,,,
sub-00001,ses-32,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,bodymapST1_acq-rightleg,bodymapST1_acq-chest,pinellocalizer,,,,,,,
sub-00001,ses-33,bodymapST2_acq-leftleg,bodymapST2_acq-rightarm,bodymapST2_acq-abdomen,bodymapST2_acq-leftface,,,,,,,,
sub-00001,ses-34,bodymapST1_acq-rightleg,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,bodymapST1_acq-chest,pinellocalizer,,,,,,,
sub-00001,ses-35,bodymapST2_acq-leftleg,bodymapST2_acq-abdomen,bodymapST2_acq-leftface,bodymapST2_acq-rightarm,,,,,,,,
