square,location,corrAns,runSeq,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",None,,0,0,0,0,0,0,0,0,,,,,,,,,39.634639099705964,None,40.65050600003451,None,40.65050600003451,41.65134450001642,41.65134450001642,None,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,40.65050600003451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
6,"[0.2, 0]",1,,0,0,0,0,0,1,1,1,,,,,,,,,,,42.65132510010153,None,42.65132510010153,43.651350299827754,43.634682399686426,44.634682399686426,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,42.65132510010153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
2,"[0, 0.2]",0,,0,0,0,0,0,2,2,2,,,,,,,,,,,44.65135099971667,None,44.65135099971667,45.65135019971058,45.634684399701655,46.63470669975504,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,44.65135099971667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
9,"[0.2, -0.2]",0,,0,0,0,0,0,3,3,3,,,,,,,,,,,46.65137859992683,None,46.65137859992683,47.65136889973655,47.634716199710965,48.63467480009422,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,46.65137859992683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
9,"[0.2, -0.2]",1,,0,0,0,0,0,4,4,4,,,,,,,,,,,48.6513795000501,None,48.6513795000501,49.65140089998022,49.63473009970039,50.6347298999317,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,48.6513795000501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
6,"[0.2, 0]",0,,0,0,0,0,0,5,5,5,,,,,,,,,,,50.65138399973512,None,50.65138399973512,51.65138190006837,51.63474759971723,52.63474499993026,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,50.65138399973512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
4,"[-0.2, 0]",0,,0,0,0,0,0,6,6,6,,,,,,,,,,,52.65130699984729,None,52.65130699984729,53.651418999768794,53.63474259991199,54.63475070009008,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,52.65130699984729,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
3,"[0.2, 0.2]",0,,0,0,0,0,0,7,7,7,,,,,,,,,,,54.65141090005636,None,54.65141090005636,55.65143849980086,55.63476700009778,56.63477539969608,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,54.65141090005636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
3,"[0.2, 0.2]",1,,0,0,0,0,0,8,8,8,,,,,,,,,,,56.6514329998754,None,56.6514329998754,57.65148309990764,57.634779799729586,58.63478960003704,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,56.6514329998754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
8,"[0, -0.2]",0,,0,0,0,0,0,9,9,9,,,,,,,,,,,58.65146079985425,None,58.65146079985425,59.65145940007642,59.63479829998687,60.6347929998301,1,-0.18888888888888888,0.026851851851851852,"[0, 0, 0]",0,0,58.65146079985425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1459,WASABI distractmap,2020.2.10,59.99718001328324,"['Chest', 'Left Face', 'Abdomen', 'Chest', 'Right Face', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Right Leg', 'Right Arm', 'Right Arm', 'Left Leg', 'Left Face', 'Left Leg', 'Abdomen']",
