runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,49.96244420000585,None,space,1.177099599968642,49.96244420000585,None,,,,,,,,,,,,,,,,,,,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,0,0,0,,,,,,,51.233069900015835,51.233069900015835,None,space,1013.9311257000081,51.233069900015835,None,1065.1915015000268,space,13.380719999957364,1065.1915015000268,None,1093.491688100039,1095.4919945000438,1093.491688100039,1095.4919945000438,1095.4750192000065,None,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1119.4754025000148,1121.475564500026,1119.4754025000148,1121.475564500026,1121.458484600007,1119.4754025000148,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,1158.4590652000043,1160.4592275000177,1158.4590652000043,1160.4592275000177,1160.4422243000008,1158.4590652000043,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,1171.442506899999,1173.4426641000318,1171.442506899999,1173.4426641000318,1173.4256813999964,1171.442506899999,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,1197.4260456000338,1199.4262597000343,1197.4260456000338,1199.4262597000343,1199.4092149000498,1197.4260456000338,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,1223.409788799996,1225.409449800034,1223.409788799996,1225.409449800034,1225.3927830000175,1223.409788799996,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,1262.3934570000274,1264.39347000001,1262.3934570000274,1264.39347000001,1264.376451200049,1262.3934570000274,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,1288.3770063000266,1290.3766653000494,1288.3770063000266,1290.3766653000494,1290.359999700042,1288.3770063000266,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,1314.3605528000044,1316.3602132000378,1314.3605528000044,1316.3602132000378,1316.3435442000045,1314.3605528000044,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
stimuli/orders/stimOrder2.xlsx,3,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,1379.3444350000354,1381.344074200024,1379.3444350000354,1381.344074200024,1381.3274280000478,1379.3444350000354,8,f,1,9,r,CJM,2021_Nov_15_1727,2020.2.5,bodymapST1,59.98073417415472,"['Left Leg', 'Right Leg', 'Right Arm', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.3278547000373,1431.3278547000373,,,,,,,,,,,,
