runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg1.started,BodySiteImg1.stopped,BodySiteImg2.started,BodySiteImg2.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
,,,,,,,,,,10.094747400002234,None,space,0.8040816326530612,10.094747400002234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,5,0,0,0,6,0,1,1,1,,,,,,,11.032649600001605,10.956513949999135,None,11.032649600001605,None,space,0.8040816326530612,11.032649600001605,None,11.858034600001702,None,36.89297319999969,None,36.89297319999969,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,5,0,0,0,6,0,3,3,3,,,,,,,,,,,,,,,,61.87363770000229,None,86.90341930000068,None,86.90341930000068,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,6,0,0,0,6,0,5,5,5,,,,,,,,,,,,,,,,111.89250190000166,None,136.93283540000266,None,136.93283540000266,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,6,0,0,0,6,0,7,7,7,,,,,,,,,,,,,,,,161.9343633000026,None,186.95022830000016,None,186.95022830000016,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,5,0,0,0,6,0,9,9,9,,,,,,,,,,,,,,,,211.9585979000003,None,236.9860370000024,None,236.9860370000024,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,6,0,0,0,6,0,13,13,13,,,,,,,,,,,,,,,,312.0260961000022,None,337.05138960000113,None,337.05138960000113,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,6,0,0,0,6,0,15,15,15,,,,,,,,,,,,,,,,362.05947709999964,None,387.08413550000114,None,387.08413550000114,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,5,0,0,0,6,0,17,17,17,,,,,,,,,,,,,,,,412.1008734999996,None,437.1193404000005,None,437.1193404000005,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,6,0,0,0,6,0,21,21,21,,,,,,,,,,,,,,,,512.1593353000026,None,537.1928342000028,None,537.1928342000028,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,6,0,0,0,6,0,25,25,25,,,,,,,,,,,,,,,,612.2255493000011,None,637.2429521000013,None,637.2429521000013,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,5,0,0,0,6,0,29,29,29,,,,,,,,,,,,,,,,712.2928224999996,None,737.3201585000024,None,737.3201585000024,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,5,0,0,0,6,0,31,31,31,,,,,,,,,,,,,,,,762.3341794000007,None,787.3430178000017,None,787.3430178000017,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,6,0,0,0,6,0,35,35,35,,,,,,,,,,,,,,,,862.4007667000005,None,887.4189327000022,None,887.4189327000022,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,5,0,0,0,6,0,37,37,37,,,,,,,,,,,,,,,,912.4263480000009,None,937.4548789,None,937.4548789,None,,,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
stimuli/orders/stimOrder13.xlsx,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,-73,958.20812123,,,,,,,,,,,1,m,1,r,MS,2021_Apr_03_1632,bodysite,2020.2.5,60.41996710746146,"[['Left Leg', 'Right Arm'], ['Left Face', 'Left Arm'], ['Abdomen', 'Chest'], ['Right Leg', 'Right Face'], ['Right Face', 'Right Leg'], ['Left Leg', 'Abdomen'], ['Chest', 'Right Arm'], ['Left Arm', 'Left Face']]",
