runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
,,,,,,,,,,46.93051439989358,None,space,4.390394899994135,46.93051439989358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,0,0,0,,,,,,,51.4689486999996,51.4689486999996,None,space,985.242961099837,51.4689486999996,None,1036.74260759959,space,69.97128339996561,1036.74260759959,None,1308.460614499636,None,1308.460614499636,None,,,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,2,2,2,,,,,,,,,,,,,,,,,,,1334.5949909999035,None,1334.5949909999035,None,1321.4614310995676,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,7,7,7,,,,,,,,,,,,,,,,,,,1401.0451587997377,None,1401.0451587997377,None,1387.3785923998803,1387.3785923998803,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,11,11,11,,,,,,,,,,,,,,,,,,,1453.4791559996083,None,1453.4791559996083,None,1440.3289710995741,1440.3289710995741,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,13,13,13,,,,,,,,,,,,,,,,,,,1479.4793751998805,None,1479.4793751998805,None,1466.4791668998078,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,16,16,16,,,,,,,,,,,,,,,,,,,1518.6296554999426,None,1518.6296554999426,None,1505.6294659995474,1505.6294659995474,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,20,20,20,,,,,,,,,,,,,,,,,,,1571.4467278998345,None,1571.4467278998345,None,1558.2798477998003,1558.2798477998003,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,25,25,25,,,,,,,,,,,,,,,,,,,1636.713861499913,None,1636.713861499913,None,1623.5803723996505,1623.5803723996505,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
stimuli/orders/stimOrder9.xlsx,3,0,0,0,4,0,31,31,31,,,,,,,,,,,,,,,,,,,1715.1644460000098,None,1715.1644460000098,None,1701.9975847997703,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_20_0958,bodysite,2020.2.5,60.00207598984524,"['Left Arm', 'Right Arm', 'Right Face', 'Chest', 'Left Leg', 'Right Leg', 'Abdomen', 'Left Face']",
