8.2124 	EXP 	Created Nbackinstructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Nbackinstructions', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.75)
8.6998 	EXP 	Created fixation_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
8.7000 	EXP 	window1: mouseVisible = True
9.0002 	EXP 	Created grid_lines_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='grid.png', interpolate=True, mask=None, maskParams=None, name='grid_lines_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.6, 0.6]), texRes=128, units='height', win=Window(...))
9.0019 	EXP 	Created target_square_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=None, lineColorSpace=None, lineRGB=None, lineWidth=1, name='target_square_2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.15, 0.15]), units='height', vertices=ndarray(...), win=Window(...))
9.0046 	EXP 	Created fixation_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
9.0047 	EXP 	window1: mouseVisible = True
9.0132 	EXP 	Created ScoreReportText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ScoreReportText', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.75)
9.0240 	EXP 	Created BodySiteInstructionText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='BodySiteInstructionText', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.6)
9.0255 	EXP 	Created BodySiteImg = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=None, interpolate=True, mask=None, maskParams=None, name='BodySiteImg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.4, 0.4]), texRes=512, units='height', win=Window(...))
9.0257 	EXP 	window1: mouseVisible = True
9.0269 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='black', lineColorSpace='named', lineRGB=array([0., 0., 0.]), lineWidth=1.5, name='unnamed Rect', opacity=1.0, ori=array(0.), pos=array([-0.375, -0.1  ]), size=array([0.75, 0.4 ]), units='height', vertices=ndarray(...), win=Window(...))
9.0282 	EXP 	Created unnamed ShapeStim = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='black', fillColorSpace='named', interpolate=True, lineColor='black', lineColorSpace='named', lineWidth=1.5, name='unnamed ShapeStim', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.0405 	EXP 	Created intensityAnchors = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='intensityAnchors', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.09]), size=array([1.5, 0.4]), texRes=512, units='height', win=Window(...))
9.0481 	EXP 	Created IntensityPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='IntensityPrompt', opacity=1.0, ori=0, pos=array([0. , 0.3]), rgb=array([255., 255., 255.]), text='How intense was that overall?', units='height', win=Window(...), wrapWidth=1)
9.0484 	EXP 	window1: mouseVisible = False
9.2336 	EXP 	Nbackinstructions: text = 'Welcome to the n-back task \n\n\nPlease read the following instructions \nvery carefully.\n\n\n\n\n\n\n\n\nExperimenter press [Space] to continue.'
10.4817 	DATA 	Mouse: Left button down, pos=(893,437)
10.5780 	DATA 	Mouse:  Left button up, pos=(893,437)
10.8057 	DATA 	Keypress: space
10.8482 	EXP 	Nbackinstructions: text = 'During the task you will be presented a white square in one of nine positions on a grid. \n\n\n\n\n\n\nDepending on the instruction, your task is to indicate whether the \ncurrent position is the same as either:\nthe position on the last trial\nor the position two trials ago\n\n\nExperimenter press [Space] to continue.'
10.8482 	EXP 	NbackInstructionImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\1.png'
12.4243 	DATA 	Keypress: space
12.4660 	EXP 	Nbackinstructions: text = 'Between each trial, a fixation cross will appear in the middle of the grid. \n\n\n\n\n\n\n\n\nYou do not need to respond during this time. \nSimply wait for the next trial.\n\n\n\nExperimenter press [Space] to continue.'
12.4660 	EXP 	NbackInstructionImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\2.png'
52.7480 	DATA 	Mouse: Left button down, pos=(1072,420)
52.8542 	DATA 	Mouse:  Left button up, pos=(1072,420)
53.2675 	DATA 	Keypress: space
53.2993 	EXP 	NbackInstructionImg: autoDraw = False
53.2993 	EXP 	Nbackinstructions: text = '\n1-back\n\n\n\n\n\n\n\nDuring 1-back you will have to indicate whether the current position matches the position that was presented in the last trial, by either pressing the "yes" button (left click) or the "no" button (right click).\n\n\nExperimenter press [Space] to show an example.'
55.9582 	DATA 	Keypress: space
55.9867 	EXP 	box1: fillColor = 'white'
55.9867 	EXP 	box1: lineColor = 'white'
55.9867 	EXP 	box1: color = 'white'
55.9867 	EXP 	box2: fillColor = 'white'
55.9867 	EXP 	box2: lineColor = 'white'
55.9867 	EXP 	box2: color = 'white'
55.9867 	EXP 	box1Text: autoDraw = True
55.9867 	EXP 	box1: autoDraw = True
55.9867 	EXP 	box2Text: autoDraw = True
55.9867 	EXP 	box2: autoDraw = True
56.5419 	DATA 	Mouse: Left button down, pos=(916,356)
56.5711 	EXP 	box1Check: autoDraw = True
56.6218 	DATA 	Mouse:  Left button up, pos=(915,356)
56.8053 	DATA 	Mouse: Right button down, pos=(914,358)
56.8211 	EXP 	box2Check: autoDraw = True
56.8211 	EXP 	continueText: autoDraw = True
56.8722 	DATA 	Mouse:  Right button up, pos=(914,358)
57.1612 	DATA 	Keypress: space
57.1998 	EXP 	window1: mouseVisible = True
57.2018 	EXP 	box1Text: autoDraw = False
57.2018 	EXP 	box2Text: autoDraw = False
57.2018 	EXP 	box1: autoDraw = False
57.2018 	EXP 	box2: autoDraw = False
57.2018 	EXP 	box1Check: autoDraw = False
57.2018 	EXP 	box2Check: autoDraw = False
57.2018 	EXP 	continueText: autoDraw = False
57.2018 	EXP 	Nbackinstructions: text = 'In the below 1-back example you should not respond to the first trial (as there is no trial before it), make a "no" response (right click) on trial 2, since the positions on trials 1 and 2 do not match, and make a "yes" response on trial 3, since the position is the same as the position on trial 2.\n\n\n\n\n\n\n\n\n\n'
57.2018 	EXP 	Nbackinstructions: autoDraw = True
57.2018 	EXP 	ClickPrompt: text = 'Click to continue'
57.2018 	EXP 	NbackInstructionWideImg: autoDraw = True
57.2045 	EXP 	NbackInstructionWideImg: autoDraw = True
57.2214 	EXP 	NbackInstructionWideImg: autoDraw = True
57.2380 	EXP 	NbackInstructionWideImg: autoDraw = True
57.2547 	EXP 	NbackInstructionWideImg: autoDraw = True
57.2714 	EXP 	NbackInstructionWideImg: autoDraw = True
57.2881 	EXP 	NbackInstructionWideImg: autoDraw = True
57.3047 	EXP 	NbackInstructionWideImg: autoDraw = True
57.3215 	EXP 	NbackInstructionWideImg: autoDraw = True
57.3381 	EXP 	NbackInstructionWideImg: autoDraw = True
57.3548 	EXP 	NbackInstructionWideImg: autoDraw = True
57.3715 	EXP 	NbackInstructionWideImg: autoDraw = True
57.3882 	EXP 	NbackInstructionWideImg: autoDraw = True
57.4049 	EXP 	NbackInstructionWideImg: autoDraw = True
57.4215 	EXP 	NbackInstructionWideImg: autoDraw = True
57.4382 	EXP 	NbackInstructionWideImg: autoDraw = True
57.4551 	EXP 	NbackInstructionWideImg: autoDraw = True
57.4715 	EXP 	NbackInstructionWideImg: autoDraw = True
57.4882 	EXP 	NbackInstructionWideImg: autoDraw = True
57.5049 	EXP 	NbackInstructionWideImg: autoDraw = True
57.5215 	EXP 	NbackInstructionWideImg: autoDraw = True
57.5382 	EXP 	NbackInstructionWideImg: autoDraw = True
57.5548 	EXP 	NbackInstructionWideImg: autoDraw = True
57.5716 	EXP 	NbackInstructionWideImg: autoDraw = True
57.5883 	EXP 	NbackInstructionWideImg: autoDraw = True
57.6049 	EXP 	NbackInstructionWideImg: autoDraw = True
57.6216 	EXP 	NbackInstructionWideImg: autoDraw = True
57.6383 	EXP 	NbackInstructionWideImg: autoDraw = True
57.6549 	EXP 	NbackInstructionWideImg: autoDraw = True
57.6717 	EXP 	NbackInstructionWideImg: autoDraw = True
57.6883 	EXP 	NbackInstructionWideImg: autoDraw = True
57.7050 	EXP 	NbackInstructionWideImg: autoDraw = True
57.7217 	EXP 	NbackInstructionWideImg: autoDraw = True
57.7386 	EXP 	NbackInstructionWideImg: autoDraw = True
57.7549 	EXP 	NbackInstructionWideImg: autoDraw = True
57.7716 	EXP 	NbackInstructionWideImg: autoDraw = True
57.7884 	EXP 	NbackInstructionWideImg: autoDraw = True
57.8050 	EXP 	NbackInstructionWideImg: autoDraw = True
57.8217 	EXP 	NbackInstructionWideImg: autoDraw = True
57.8384 	EXP 	NbackInstructionWideImg: autoDraw = True
57.8551 	EXP 	NbackInstructionWideImg: autoDraw = True
57.8718 	EXP 	NbackInstructionWideImg: autoDraw = True
57.8886 	EXP 	NbackInstructionWideImg: autoDraw = True
57.9051 	EXP 	NbackInstructionWideImg: autoDraw = True
57.9218 	EXP 	NbackInstructionWideImg: autoDraw = True
57.9385 	EXP 	NbackInstructionWideImg: autoDraw = True
57.9552 	EXP 	NbackInstructionWideImg: autoDraw = True
57.9718 	EXP 	NbackInstructionWideImg: autoDraw = True
57.9884 	EXP 	NbackInstructionWideImg: autoDraw = True
58.0051 	EXP 	NbackInstructionWideImg: autoDraw = True
58.0218 	EXP 	NbackInstructionWideImg: autoDraw = True
58.0385 	EXP 	NbackInstructionWideImg: autoDraw = True
58.0551 	EXP 	NbackInstructionWideImg: autoDraw = True
58.0718 	EXP 	NbackInstructionWideImg: autoDraw = True
58.0885 	EXP 	NbackInstructionWideImg: autoDraw = True
58.1052 	EXP 	NbackInstructionWideImg: autoDraw = True
58.1218 	EXP 	NbackInstructionWideImg: autoDraw = True
58.1387 	EXP 	NbackInstructionWideImg: autoDraw = True
58.1552 	EXP 	NbackInstructionWideImg: autoDraw = True
58.1719 	EXP 	NbackInstructionWideImg: autoDraw = True
58.1886 	EXP 	NbackInstructionWideImg: autoDraw = True
58.2053 	EXP 	NbackInstructionWideImg: autoDraw = True
58.2219 	EXP 	NbackInstructionWideImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\3.png'
58.2219 	EXP 	NbackInstructionWideImg: autoDraw = True
58.2385 	EXP 	NbackInstructionWideImg: autoDraw = True
58.2552 	EXP 	NbackInstructionWideImg: autoDraw = True
58.2719 	EXP 	NbackInstructionWideImg: autoDraw = True
58.2886 	EXP 	NbackInstructionWideImg: autoDraw = True
58.3053 	EXP 	NbackInstructionWideImg: autoDraw = True
58.3220 	EXP 	NbackInstructionWideImg: autoDraw = True
58.3386 	EXP 	NbackInstructionWideImg: autoDraw = True
58.3553 	EXP 	NbackInstructionWideImg: autoDraw = True
58.3719 	EXP 	NbackInstructionWideImg: autoDraw = True
58.3887 	EXP 	NbackInstructionWideImg: autoDraw = True
58.4054 	EXP 	NbackInstructionWideImg: autoDraw = True
58.4219 	EXP 	NbackInstructionWideImg: autoDraw = True
58.4386 	EXP 	NbackInstructionWideImg: autoDraw = True
58.4554 	EXP 	NbackInstructionWideImg: autoDraw = True
58.4721 	EXP 	NbackInstructionWideImg: autoDraw = True
58.4888 	EXP 	NbackInstructionWideImg: autoDraw = True
58.5054 	EXP 	NbackInstructionWideImg: autoDraw = True
58.5220 	EXP 	NbackInstructionWideImg: autoDraw = True
58.5387 	EXP 	NbackInstructionWideImg: autoDraw = True
58.5553 	EXP 	NbackInstructionWideImg: autoDraw = True
58.5721 	EXP 	NbackInstructionWideImg: autoDraw = True
58.5887 	EXP 	NbackInstructionWideImg: autoDraw = True
58.6054 	EXP 	NbackInstructionWideImg: autoDraw = True
58.6221 	EXP 	NbackInstructionWideImg: autoDraw = True
58.6387 	EXP 	NbackInstructionWideImg: autoDraw = True
58.6554 	EXP 	NbackInstructionWideImg: autoDraw = True
58.6722 	EXP 	NbackInstructionWideImg: autoDraw = True
58.6888 	EXP 	NbackInstructionWideImg: autoDraw = True
58.7055 	EXP 	NbackInstructionWideImg: autoDraw = True
58.7221 	EXP 	NbackInstructionWideImg: autoDraw = True
58.7388 	EXP 	NbackInstructionWideImg: autoDraw = True
58.7555 	EXP 	NbackInstructionWideImg: autoDraw = True
58.7723 	EXP 	NbackInstructionWideImg: autoDraw = True
58.7888 	EXP 	NbackInstructionWideImg: autoDraw = True
58.8055 	EXP 	NbackInstructionWideImg: autoDraw = True
58.8222 	EXP 	NbackInstructionWideImg: autoDraw = True
58.8388 	EXP 	NbackInstructionWideImg: autoDraw = True
58.8555 	EXP 	NbackInstructionWideImg: autoDraw = True
58.8723 	EXP 	NbackInstructionWideImg: autoDraw = True
58.8889 	EXP 	NbackInstructionWideImg: autoDraw = True
58.9056 	EXP 	NbackInstructionWideImg: autoDraw = True
58.9223 	EXP 	NbackInstructionWideImg: autoDraw = True
58.9388 	EXP 	NbackInstructionWideImg: autoDraw = True
58.9557 	EXP 	NbackInstructionWideImg: autoDraw = True
58.9723 	EXP 	NbackInstructionWideImg: autoDraw = True
58.9889 	EXP 	NbackInstructionWideImg: autoDraw = True
59.0056 	EXP 	NbackInstructionWideImg: autoDraw = True
59.0223 	EXP 	NbackInstructionWideImg: autoDraw = True
59.0389 	EXP 	NbackInstructionWideImg: autoDraw = True
59.0558 	EXP 	NbackInstructionWideImg: autoDraw = True
59.0725 	EXP 	NbackInstructionWideImg: autoDraw = True
59.0889 	EXP 	NbackInstructionWideImg: autoDraw = True
59.1056 	EXP 	NbackInstructionWideImg: autoDraw = True
59.1223 	EXP 	NbackInstructionWideImg: autoDraw = True
59.1390 	EXP 	NbackInstructionWideImg: autoDraw = True
59.1558 	EXP 	NbackInstructionWideImg: autoDraw = True
59.1724 	EXP 	NbackInstructionWideImg: autoDraw = True
59.1890 	EXP 	NbackInstructionWideImg: autoDraw = True
59.2057 	EXP 	NbackInstructionWideImg: autoDraw = True
59.2224 	EXP 	NbackInstructionWideImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\4.png'
59.2224 	EXP 	NbackInstructionWideImg: autoDraw = True
59.2390 	EXP 	NbackInstructionWideImg: autoDraw = True
59.2557 	EXP 	NbackInstructionWideImg: autoDraw = True
59.2724 	EXP 	NbackInstructionWideImg: autoDraw = True
59.2891 	EXP 	NbackInstructionWideImg: autoDraw = True
59.3057 	EXP 	NbackInstructionWideImg: autoDraw = True
59.3225 	EXP 	NbackInstructionWideImg: autoDraw = True
59.3391 	EXP 	NbackInstructionWideImg: autoDraw = True
59.3558 	EXP 	NbackInstructionWideImg: autoDraw = True
59.3726 	EXP 	NbackInstructionWideImg: autoDraw = True
59.3892 	EXP 	NbackInstructionWideImg: autoDraw = True
59.4059 	EXP 	NbackInstructionWideImg: autoDraw = True
59.4226 	EXP 	NbackInstructionWideImg: autoDraw = True
59.4395 	EXP 	NbackInstructionWideImg: autoDraw = True
59.4560 	EXP 	NbackInstructionWideImg: autoDraw = True
59.4726 	EXP 	NbackInstructionWideImg: autoDraw = True
59.4892 	EXP 	NbackInstructionWideImg: autoDraw = True
59.5059 	EXP 	NbackInstructionWideImg: autoDraw = True
59.5226 	EXP 	NbackInstructionWideImg: autoDraw = True
59.5393 	EXP 	NbackInstructionWideImg: autoDraw = True
59.5560 	EXP 	NbackInstructionWideImg: autoDraw = True
59.5726 	EXP 	NbackInstructionWideImg: autoDraw = True
59.5892 	EXP 	NbackInstructionWideImg: autoDraw = True
59.6059 	EXP 	NbackInstructionWideImg: autoDraw = True
59.6228 	EXP 	NbackInstructionWideImg: autoDraw = True
59.6395 	EXP 	NbackInstructionWideImg: autoDraw = True
59.6559 	EXP 	NbackInstructionWideImg: autoDraw = True
59.6727 	EXP 	NbackInstructionWideImg: autoDraw = True
59.6893 	EXP 	NbackInstructionWideImg: autoDraw = True
59.7061 	EXP 	NbackInstructionWideImg: autoDraw = True
59.7227 	EXP 	NbackInstructionWideImg: autoDraw = True
59.7394 	EXP 	NbackInstructionWideImg: autoDraw = True
59.7560 	EXP 	NbackInstructionWideImg: autoDraw = True
59.7727 	EXP 	NbackInstructionWideImg: autoDraw = True
